Irg_name,type,Ensembl_gene,gene_name,Ensembl_chromo,Ensembl_sens,orthogroups_analysis_OF16dec20,orthogroups_analysis_OF19dec20
Irga1,pseudogene,ENSMUSG00000085977,Gm5970,Chromosome 18,forward,NA,NA
Irga2,coding,ENSMUSG00000073555,Gm4951,Chromosome 18,forward,OG0000091,OG0001708
Irga3,coding,ENSMUSG00000068606,Gm4841,Chromosome 18,reverse,OG0000091,OG0001708
Irga4,coding,ENSMUSG00000090942,F830016B08Rik,Chromosome 18,forward,OG0000091,OG0001027
Irga5*,pseudogene,NA,Gm46612,Chromosome 18,forward,NA,NA
Irga7,pseudogene,ENSMUSG00000118051,Gm8714,Chromosome 18,forward,NA,NA
Irga6,coding,ENSMUSG00000054072,Iigp1,Chromosome 18,forward,OG0000091,OG0001708
Irga8,pseudogene,ENSMUSG00000063388,BC023105,Chromosome 18,forward,NA,NA
Irgm1,coding,ENSMUSG00000046879,Irgm1,Chromosome 11,reverse,OG0006194,OG0006061
Irgb8,coding(tandem),ENSMUSG00000058163,Gm5431,Chromosome 11,reverse,OG0001887,OG0000308
Irgb9,coding(tandem),ENSMUSG00000058163,Gm5431,Chromosome 11,reverse,OG0001887,OG0000308
Irgb2,coding(tandem),ENSMUSG00000048852,Gm12185,Chromosome 11,reverse,OG0001887,OG0000308
Irgb1,coding(tandem),ENSMUSG00000048852,Gm12185,Chromosome 11,reverse,OG0001887,OG0000308
Irgb3,coding(tandem),ENSMUSG00000069893,9930111J21Rik1,Chromosome 11,reverse,OG0001887,OG0000308
Irgb5*,coding(tandem),ENSMUSG00000069893,9930111J21Rik1,Chromosome 11,reverse,OG0001887,OG0000308
Irgb6*,coding,ENSMUSG00000078922,Tgtp1,Chromosome 11,reverse,OG0000091,OG0000308
Irgb5,coding(tandem),ENSMUSG00000069892,9930111J21Rik2,Chromosome 11,reverse,OG0001887,OG0000308
Irgb4,coding(tandem),ENSMUSG00000069892,9930111J21Rik2,Chromosome 11,reverse,OG0001887,OG0000308
Irgb6,coding,ENSMUSG00000078921,Tgtp2,Chromosome 11,reverse,OG0000091,OG0000308
Irgb7,pseudogene,ENSMUSG00000083178,Gm12187,Chromosome 11,reverse,NA,NA
Irgd,coding,ENSMUSG00000078920,Ifi47,Chromosome 11,forward,OG0010621,OG0010596
Irgb10,pseudogene,ENSMUSG00000082292,Gm12250,Chromosome 11,forward,NA,NA
Irgm3,coding,ENSMUSG00000078853,Igtp,Chromosome 11,forward,OG0011718,OG0011740
Irgm2,coding,ENSMUSG00000069874,Irgm2,Chromosome 11,forward,OG0017133,OG0017393
