Name_Bekpen_2005,proteins_GRCm39
Irga2,NP_001028939.1
Irga3,NP_001030031.2
Irga4,NP_001094945.1
Irga6,NP_068564.4
Irgm1,NP_001342686.1
Irgb9,NP_001019401.2
Irgb1,NP_001039005.1
Irgb3,NP_001108151.1
Irgb6*,NP_035709.3
Irgb5,NP_775610.1
Irgb6,NP_001138636.1
Irgd,NP_001258606.1
Irgb10,NP_001128587.1
Irgm3,NP_061208.3
Irgm2,NP_062313.3
Irgc,NP_001344963.1
Irgq,NP_694774.3
