IrgName	Species	chr	start_NCBI	start	end	forward_reverse	gene_name	protein_name	found_by	rankSpecies
Irgc	M.musculus	Chr7	24131344	24131344	24145107	R	Irgc1	NP_001344963.1	orthoFinder	1
Irgq	M.musculus	Chr7	24230073	24230073	24238025	F	Irgq	NP_694774.3	orthoFinder	1
Irgm1	M.musculus	Chr11	48756072	48756072	48762247	R	Irgm1	NP_001342686.1	orthoFinder	1
IrgbTandem	M.musculus	Chr11	48778249	48778249	48792979	R	Gm5431 (Irgb9b8)	NP_001019401.2	orthoFinder	1
IrgbTandem	M.musculus	Chr11	48795483	48795483	48818009	R	Gm12185 (Irgb2b1)	NP_001039005.1	orthoFinder	1
IrgbTandem	M.musculus	Chr11	48836977	48836977	48870208	R	9930111J21Rik1 (Irgb5*b3; Iigp)	NP_001108151.1	orthoFinder	1
Irgb6-OG1	M.musculus	Chr11	48876156	48876156	48883073	R	Tgtp1 (Irgb6*)	NP_035709.3	orthoFinder	1
IrgbTandem	M.musculus	Chr11	48928487	48928487	48942069	R	9930111J21Rik2 (Irgb5)	NP_775610.1	orthoFinder	1
Irgb6-OG1	M.musculus	Chr11	48948023	48948023	48955039	R	Tgtp2 (Irgb6)	NP_001138636.1	orthoFinder	1
Irgd	M.musculus	Chr11	48967414	48967414	48987814	F	Ifi47	NP_001258606.1	orthoFinder	1
Irgb10	M.musculus	Chr11	58074669	58074669	58081024	F	Gm12250	NP_001128587.1	orthoFinder	1
Irgm3	M.musculus	Chr11	58090382	58090382	58098418	F	Igtp	NP_061208.3	orthoFinder	1
Irgm2	M.musculus	Chr11	58105803	58105803	58113609	F	Irgm2	NP_062313.3	orthoFinder	1
Irga2-6	M.musculus	Chr18	60345064	60345064	60381512	F	Gm4951 (Irga2)	NP_001028939.1	orthoFinder	1
Irga3	M.musculus	Chr18	60401373	60401373	60406339	R	Gm4841 (Irga3)	NP_001030031.2	orthoFinder	1
Irga4	M.musculus	Chr18	60421811	60421811	60438162	F	F830016B08Rik (Irga4)	NP_001094945.1	orthoFinder	1
Irga2-6	M.musculus	Chr18	60506688	60506688	60525706	F	Iigp1 (Irga6)	NP_068564.4	orthoFinder	1
Irga4	M.pahari	NW_018393561.1	1849	1849	3116	F	LOC110315606	XP_021045280.1	orthoFinder	2
Irga3	M.pahari	NW_018392750.1	7068	7068	8303	R	LOC110315162	XP_021044948.1	orthoFinder	2
Irga2-6	M.pahari	NW_018392426.1	12410	12410	20806	F	LOC110315007	XP_021044838.1	orthoFinder	2
Irga2-6	M.pahari	NW_018392426.1	12494	12494	22669	F	LOC110315006	XP_021044837.1	orthoFinder	2
IrgbTandem	M.pahari	NW_018392113.1	18001	18001	33933	R	LOC110314834	XP_021044707.1	orthoFinder	2
Irga3	M.pahari	NW_018393561.1	19985	19985	21833	R	LOC110315605	XP_021045279.1	orthoFinder	2
