HOG	OG	genomic_position Tree Parent Clade	IRG names in M.musculus (Bekpen_NCBI)	M.musculus GRCm39 orthologous proteins	M.musculus GRCm39 genomic positions	M.pahari PAHARI_EIJ_v1.1 orthologous proteins	M.pahari PAHARI_EIJ_v1.1 corresponding genes	M.pahari PAHARI_EIJ_v1.1 genomic positions	R.norvegicus Rnor_6.0 orthologous proteins	R.norvegicus Rnor_6.0 corresponding genes	R.norvegicus Rnor_6.0 genomic positions	R.rattus Rrattus_CSIRO_v1 orthologous proteins	R.rattus Rrattus_CSIRO_v1 corresponding genes	R.rattus Rrattus_CSIRO_v1 genomic positions	M.ochrogaster MicOch1.0 orthologous proteins	M.ochrogaster MicOch1.0 corresponding genes	M.ochrogaster MicOch1.0 genomic positions	A.amphibius mArvAmp1.1 orthologous proteins	A.amphibius mArvAmp1.1 corresponding genes	A.amphibius mArvAmp1.1 genomic positions	M.glareolus S.PatersonBV1_run1.maker.proteins.1.annotation orthologous proteins	M.glareolus S.PatersonBV1_run1.maker.proteins.1.annotation notes	M.glareolus S.PatersonBV1_run1.maker.proteins.1.annotation corresponding genomic positions	M.glareolus Bank_vole1_10x corresponding positions in published genome	P.leucopus UCI_PerLeu_2.1 orthologous proteins	P.leucopus UCI_PerLeu_2.1  corresponding genes	P.leucopus UCI_PerLeu_2.1 genomic positions	M.auratus MesAur1.0 orthologous proteins	M.auratus MesAur1.0 corresponding genes	M.auratus MesAur1.0 genomic positions
N0.HOG0004957	OG0001054	n1	2x Irga4_F830016B08Rik	NP_001094945.1, XP_006525989.1	2x Chr18 NC_000084.7 (60421811..60438162)	XP_021045280.1	LOC110315606 interferon-inducible GTPase 1-like	Unplaced Scaffold NW_018393561.1 (1849..3116)	XP_225905.4, XP_017456600.1	RGD1305184 similar to CDNA sequence BC023105, obsolete	Chr18 NC_005117.4 (55634615..55669634), obsolete	XP_032741668.1	LOC116884637 interferon-inducible GTPase 1-like	Chr15 NC_046168.1 (71551993..71553669, complement)	XP_005356444.1, XP_005356443.1, XP_005356198.1, XP_005356195.1, XP_005356199.1, XP_005356202.1, XP_005356201.1	LOC101993820 interferon-inducible GTPase 1-like, LOC101993537 interferon-inducible GTPase 1-like, LOC101994109 interferon-inducible GTPase 1-like, LOC101993333 interferon-inducible GTPase 1-like, LOC101994395 interferon-inducible GTPase 1-like, LOC101995265 interferon-inducible GTPase 1-like, LOC101994975 interferon-inducible GTPase 1-like	Chr18 NC_022020.1 (46283687..46285054, complement), Chr18 NC_022020.1 (46157884..46163899), Chr18 NC_022020.1 (46145460..46151313), Chr18 C_022020.1 (46124588..46125829), Chr18 NC_022020.1 (46177023..46188332), Chr18 NC_022020.1 (46259692..46261068, complement), Chr18 NC_022020.1 (46215857..46217333, complement)	XP_038187469.1, XP_038187470.1, XP_038187471.1, XP_038186250.1, XP_038185511.1, XP_038185512.1, XP_038186150.1, XP_038186151.1, XP_038186149.1, XP_038187786.1	3x LOC119815416 interferon-inducible GTPase 1-like, LOC119814513 interferon-inducible GTPase 1-like, 2x LOC119814171 interferon-inducible GTPase 1-like, 3x LOC119814468 interferon-inducible GTPase 1-like, LOC119815629 interferon-inducible GTPase 1-like	3x Chr5 NC_052051.1 (134954251..134962354, complement), Chr5 NC_052051.1 (134858423..134865030), 2x Chr5 NC_052051.1 (134880602..134892022), 3x Chr5 NC_052051.1 (134938209..134947663), Chr5 NC_052051.1 (134915920..134922203, complement)	BV1GeneOct19_002908-RA, BV1GeneOct19_039553-RA, BV1GeneOct19_038752-RA, BV1GeneOct19_038751-RA	Note=Similar to Gm4841: Interferon-gamma-inducible GTPase Ifgga3 protein (Mus musculus OX%3D10090), Note=Similar to Gm4841: Interferon-gamma-inducible GTPase Ifgga3 protein (Mus musculus OX%3D10090), Note=Similar to Gm4841: Interferon-gamma-inducible GTPase Ifgga3 protein (Mus musculus OX%3D10090), Note=Similar to Gm4841: Interferon-gamma-inducible GTPase Ifgga3 protein (Mus musculus OX%3D10090)	BV1scaffold_0000061:21892218-21918472, BV1scaffold_0088518:2686-3999, BV1scaffold_0094142:40226-41539, BV1scaffold_0094142:16460-17948	LR761921.1:21892219-21918472, 2x 1to1313bp in BV1 annotation map to LR761921.1:22098716-22100022, 201 to 1486bp in BV1 annotation map to LR761921.1 :22169156-22167865	XP_028718826.1, XP_028745955.1	LOC114688407 interferon-inducible GTPase 1-like, LOC114707400 interferon-inducible GTPase 1-like	Chr19 NC_051079.1 (47679731..47683520, complement), Chr19 NC_051079.1 (47738447..47740973, complement)	XP_005074789.1, XP_005074760.1, XP_021085530.1, XP_012972219.1, XP_005074787.1	LOC101833938 interferon-inducible GTPase 1-like, LOC101844395 interferon-inducible GTPase 1-like, LOC101834191 interferon-inducible GTPase 1-like, LOC101833418 interferon-inducible GTPase 1-like, LOC101833162 interferon-inducible GTPase 1-like	Unplaced Scaffold  NW_004801652.1 (13399647..13401143, complement), Unplaced Scaffold NW_004801652.1 (13272763..13278695, complement), Unplaced Scaffold  NW_004801652.1 (13489781..13499105, complement), Unplaced Scaffold NW_004801652.1 (13379311..13386755, complement), Unplaced Scaffold  NW_004801652.1 (13323244..13334244)
N0.HOG0004958	OG0001054	n34	Irga3_Gm4841	NP_001030031.2	Chr18 NC_000084.7 (60401373..60406339, complement)	XP_021045279.1, XP_021044948.1	"LOC110315605 interferon-inducible GTPase 1-like, LOC110315162 interferon-inducible GTPase 1-like
"	Unplaced Scaffold NW_018393561.1 (19985..21833, complement), Unplaced Scaffold NW_018392750.1 (7068..8303, complement)	NA	NA	NA	NA	NA	NA	XP_005356197.1	LOC101993629 interferon-inducible GTPase 1-like	Chr18 NC_022020.1 (46133291..46139424)	XP_038186504.1, XP_038186500.1, XP_038186502.1, XP_038186503.1	4x LOC119814649 interferon-inducible GTPase 1-like	"4x Chr5	NC_052051.1 (134826673..134848685)
"	BV1GeneOct19_002909-RA	Note=Similar to Gm4841: Interferon-gamma-inducible GTPase Ifgga3 protein (Mus musculus OX%3D10090)	BV1scaffold_0000061:22002670-22003962	"LR761921.1:22002671-22003962
"	XP_028749539.1	LOC114709737 interferon-inducible GTPase 1-like	Chr19 NC_051079.1 (47575762..47583493, complement)	XP_005074791.1	LOC101834989 interferon-inducible GTPase 1-like	Unplaced Scaffold NW_004801652.1 (13619359..13632358)
N0.HOG0007835	OG0002378	n0	4x Irga2_Gm4951; 8x Irga6_Iigp1	NP_001028939.1, XP_006525988.1, XP_011245230.1, XP_011245231.1; XP_011245281.1, NP_068564.4, NP_001139747.1, XP_030106417.1, XP_036017120.1, XP_030106419.1, XP_011245282.1, XP_011245280.1	4x Chr18 NC_000084.7 (60345064..60381512), 8x Chr18 NC_000084.7 (60506688..60525706)	XP_029390545.1, XP_021044838.1, XP_021044837.1	2x LOC110315007 interferon-inducible GTPase 1-like, LOC110315006 interferon-inducible GTPase 1-like	2x Unplaced Scaffold NW_018392426.1 (12410..20806), Unplaced Scaffold NW_018392426.1 (12494..22669)	XP_003751840.2, NP_001020055.1, XP_006254821.1, NP_001012353.1, XP_006254820.1, XP_008770418.1, XP_006254819.1	obsolete, RGD1309362 similar to interferon-inducible GTPase, obsolete, MGC108823 similar to interferon-inducible GTPase, obsolete, obsolete	obsolete, Chr18 NC_005117.4 (55483059..55508714), obsolete, Chr18 NC_005117.4 (55576239..55584959), obsolete, obsolete	XP_032741871.1, XP_032741928.1	LOC116884764 interferon-inducible GTPase 1-like, LOC116884803 interferon-inducible GTPase 1-like	Chr15 NC_046168.1 (71596764..71607557, complement), Chr15 NC_046168.1 (71580446..71581937, complement)	XP_005356194.1, XP_005356193.1	LOC101993055 interferon-inducible GTPase 1-like, LOC101992774 interferon-inducible GTPase 1-like	Chr18 NC_022020.1 (46093399..46098342), Chr18 NC_022020.1 (46076349..46085200)	XP_038186027.1, XP_038186505.1	LOC119814409 interferon-inducible GTPase 1-like, LOC119814650 interferon-inducible GTPase 1-like	Chr5 NC_052051.1 (134782852..134792305), Chr5 NC_052051.1 (134807075..134823084)	NA	NA	NA	"NA






"	XP_037057668.1, XP_028718828.1, XP_028718833.1	LOC114688409 interferon-inducible GTPase 1-like, LOC114688413 interferon-inducible GTPase 1-like, LOC114688415 interferon-inducible GTPase 1-like	Unplaced Scaffold NW_023504529.1 (13003..22882), Unplaced Scaffold NW_023504528.1 (33239..38773, complement),  Unplaced Scaffold NW_023504528.1 (795..13699, complement)	XP_005088064.1	LOC101838193 interferon-inducible GTPase 1-like	Unplaced Scaffold  NW_004802954.1 (6294..17070)
N0.HOG0012414	OG0005033	n0	4x Irgm1_Irgm1	XP_030101456.1, XP_011247066.1, NP_001342686.1, NP_032352.1	4x Chr11 NC_000077.7 (48756072..48762247, complement)	XP_029402455.1, XP_029402457.1, XP_029402454.1, XP_021069255.1	4x  LOC110332389 immunity-related GTPase family M protein 1	4x Chr14 NC_034603.1 (17152512..17158722, complement)	XP_006246240.1, NP_001012007.1, XP_006246241.1	3x Irgm immunity-related GTPase M	3x Chr10 NC_005109.4 (34213885..34221968, complement)	XP_032769505.1, XP_032769508.1	2x LOC116909877 immunity-related GTPase family M protein	2x Chr9 NC_046162.1 (31465283..31473881, complement)	XP_005350249.1, XP_013202473.1, XP_013202472.1, XP_013202471.1	4x LOC101990314 immunity-related GTPase family M protein 1-like	4x Chr7 NC_022014.1 (49784227..49799026)	XP_038183759.1, XP_038183760.1	2x LOC119812844 immunity-related GTPase family M protein 1-like	2x Chr4 NC_052050.1 (71765779..71772739)	BV1GeneOct19_013930-RA	Note=Similar to Irgm1: Immunity-related GTPase family M protein 1 (Mus musculus OX%3D10090)	BV1scaffold_0000137:514294-515484	LR761981.1:514295-515484	XP_037056780.1	LOC114706392 immunity-related GTPase family M protein 1-like	Chr8b NC_051086.1 (31985442..31991631, complement)	XP_005088136.3	LOC101839900 immunity-related GTPase family M protein 1-like	Unplaced Scaffold NW_004803429.1 (10640..11132)
N0.HOG0013031	OG0005412	n0	Irgb5_9930111J21Rik, Irgb2b1_Gm12185,  Irgb9b8_Gm5431, Irgb5*b3_9930111J21Rik1	NP_775610.1, NP_001039005.1, NP_001019401.2, NP_001108151.1	Chr11 NC_000077.7 (48928487..48942069, complement), Chr11 NC_000077.7 (48795483..48818009, complement), Chr11 NC_000077.7 (48778249..48792979, complement), Chr11 NC_000077.7 (48836977..48870208, complement)	XP_029401609.1, XP_021044707.1	LOC110331209 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like, LOC110314834 uncharacterized LOC110314834	Chr 14 NC_034603.1 (17171967..17244115, complement),  Unplaced Scaffold NW_018392113.1 (18001..33933, complement)	XP_220362.3	RGD1559575 similar to novel protein	Chr10 NC_005109.4 (34232571..34256396, complement)	XP_032768840.1, XP_032768841.1	2x LOC116909389 uncharacterized LOC116909389	2x Chr9 NC_046162.1 (31491106..31515839, complement)	XP_005350244.1, XP_026635962.1, XP_005350246.1	LOC101989451 uncharacterized LOC101989451, 2x LOC101990019 uncharacterized LOC101990019	Chr7 NC_022014.1 (49697918..49708825, complement), 2x Chr7 NC_022014.1 (49767550..49779026)	XP_038181359.1, XP_038183746.1, XP_038183745.1	LOC119811504 uncharacterized LOC119811504, LOC119812839 uncharacterized LOC119812839, LOC119812838 uncharacterized LOC119812838	Chr4 NC_052050.1 (71675083..71697845, complement), Chr4 NC_052050.1 (71742114..71752782), Chr4 NC_052050.1 (71650573..71663413, complement)	BV1GeneOct19_013925-RA	Note=Similar to 9930111J21Rik2	BV1scaffold_0000137:399085-399885	LR761981.1:399086-399885	XP_028744617.1, XP_037056785.1, XP_028744619.1, XP_037056843.1, XP_028744600.1	2x LOC114706394 uncharacterized LOC114706394, 2x LOC114706397 uncharacterized LOC114706397, LOC114706382 uncharacterized LOC114706382	2x Chr8b NC_051086.1 (32055289..32068213, complement), 2x Chr8b NC_051086.1 (32012884..32025750, complement), Chr8b NC_051086.1 (32078514..32114981, complement)	NA	NA	NA
N0.HOG0015718	OG0007158	n0	3x Irgc_Irgc1	NP_001344962.1, NP_001344963.1, NP_950178.2	3x Chr7 NC_000073.7 (24131344..24145107, complement)	XP_021075595.1, XP_029388176.1	2x Irgc immunity related GTPase cinema 	2x Chr19 NC_034608.1 (19947350..19950924, complement)	NP_001014038.1, XP_006228488.1, XP_006228489.1, XP_008757149.1, XP_006228487.1	4x Irgc immunity related GTPase cinema, obsolete	4x Chr1 NC_005100.4 (81291739..81295517, complement), obsolete	XP_032752091.1	Irgc immunity related GTPase cinema	Chr2 NC_046155.1 (170281785..170285487)	XP_005361162.1	Irgc immunity related GTPase cinema	LG4 NC_022030.1 (19469635..19473218, complement)	XP_038196719.1	Irgc immunity related GTPase cinema	Chr8 NC_052054.1 (74452811..74454202, complement)	BV1GeneOct19_035564-RA	Note=Similar to Irgc1: Immunity-related GTPase family%2C cinema 1 (Mus musculus OX%3D10090)	BV1scaffold_0000151:1506987-1508354	LR761995.1:1506988-1508354	XP_037057457.1, XP_028749700.1, XP_037057458.1	Irgc immunity related GTPase cinema	Chr1 NC_051063.1 (171717600..171721573)	XP_021078846.1	Irgc immunity related GTPase cinema	Unplaced Scaffold NW_004801821.1 (1528372..1529895, complement)
N0.HOG0016315	OG0007596	n0	Irgm2_Irgm2	NP_062313.3	Chr11 NC_000077.7 (58105803..58113609)	XP_029401465.1, XP_029401463.1, XP_029401464.1, XP_029401462.1, XP_021069787.1	5x LOC110332777 immunity-related GTPase family M protein 1-like	5x Chr14 NC_034603.1 (26113346..26120212)	XP_008765970.1, XP_008765968.1	2x obsolete, but correspond to current Irgm2 immunity-related GTPase family M member 2	Chr10 NC_005109.4 (43645508..43655657)	XP_032768860.1	LOC116909404 immunity-related GTPase family M protein 1-like	Chr9 NC_046162.1 (40018254..40021498, complement)	XP_005350075.1	LOC101994081 immunity-related GTPase family M protein-like	Chr7 NC_022014.1 (40550376..40557907, complement)	XP_038181934.1, XP_038181935.1, XP_038181930.1, XP_038181933.1	2x LOC119811862 immunity-related GTPase family M protein 1-like, LOC119811859 immunity-related GTPase family M protein 1-like, LOC119811861 immunity-related GTPase family M protein-like	2x Chr4 NC_052050.1 (62788926..62798728, complement), Chr4 NC_052050.1 (62798428..62813222, complement), Chr4 NC_052050.1 (62830665..62835726, complement)	BV1GeneOct19_027398-RA	Note=Similar to Irgm2: Immunity-related GTPase family M member 2 (Mus musculus OX%3D10090)	BV1scaffold_0000135:6897941-6899101	LR761979.1:6897942-6899101	XP_037057590.1	LOC114686462 immunity-related GTPase family M protein 1-like	Unplaced Scaffold  NW_023504290.1 (7466..11616, complement)	XP_012967210.1	LOC101837226 immunity-related GTPase family M protein 1-like	Unplaced Scaffold NW_004801614.1 (18797368..18821777, complement)
N0.HOG0018335	OG0009061	n0	Irgd_Ifi47	NP_032356.1, NP_001258606.1, NP_001258605.1	3x Chr11 NC_000077.7 (48967414..48987814)	XP_021069514.1	LOC110332581 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like	Chr14 NC_034603.1 (17378755..17391275)	NP_742016.2	Ifi47 interferon gamma inducible protein 47	Chr10 NC_005109.4 (34277993..34285623)	XP_032769687.1, XP_032769686.1	2x LOC116910010 T-cell-specific guanine nucleotide triphosphate-binding protein 2-like	Chr9 NC_046162.1 (31534102..31547492)	XP_013202871.1	LOC101989165 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like	Chr7 NC_022014.1 (49740917..49745290, complement)	XP_038183749.1, XP_038183747.1, XP_038183748.1	3x LOC119812841 T-cell-specific guanine nucleotide triphosphate-binding protein 2-like	3x Chr4 NC_052050.1 (71708275..71723512, complement)	BV1GeneOct19_013928-RA	Note=Similar to Ifi47: GTP-binding protein (Mus musculus OX%3D10090)	BV1scaffold_0000137:452516-453778	LR761981.1:452517-453778	XP_028744624.1, XP_028744622.1	2x LOC114706400 T-cell-specific guanine nucleotide triphosphate-binding protein 2-like	2x Chr8b NC_051086.1 (32146779..32153476)	XP_012970178.1	LOC101836886 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like	Unplaced Scaffold NW_004801634.1 (2761525..2782726, complement)
N0.HOG0019549	OG0009971	n0	Irgb6*_Tgtp1, Irgb6_Tgtp2	NP_035709.3, NP_001138636.1	Chr11 NC_000077.7 (48876156..48883073, complement), Chr11 NC_000077.7 (48948023..48955039, complement)	XP_021069515.1	LOC110332583 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like	Chr14 NC_034603.1 (17631559..17636324)	NA	NA	NA	NA	NA	NA	XP_013202525.1, XP_005350245.1	LOC101994766 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like, LOC101989739 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like	Chr7 NC_022014.1 (49721897..49733110, complement), Chr7 NC_022014.1 (49669933..49671177)	XP_038183750.1	LOC119812842 T-cell-specific guanine nucleotide triphosphate-binding protein 2-like	Chr4 NC_052050.1 (71623862..71630787)	BV1GeneOct19_013926-RA, BV1GeneOct19_013924-RA, BV1GeneOct19_013927-RA	Note=Similar to Tgtp2: T-cell-specific guanine nucleotide triphosphate-binding protein 2 (Mus musculus OX%3D10090), Note=Similar to Tgtp2: T-cell-specific guanine nucleotide triphosphate-binding protein 2 (Mus musculus OX%3D10090), Note=Similar to Tgtp2: T-cell-specific guanine nucleotide triphosphate-binding protein 2 (Mus musculus OX%3D10090)	BV1scaffold_0000137:404708-405952, BV1scaffold_0000137:360001-389543, BV1scaffold_0000137:428470-429714	LR761981.1:404709-405952, LR761981.1:360002-389543, LR761981.1:428471-429714	XP_028744596.1, XP_037057321.1, XP_037056990.1, XP_028744601.1	2x LOC114706381 T-cell-specific guanine nucleotide triphosphate-binding protein 2-like, 2x LOC114706384 T-cell-specific guanine nucleotide triphosphate-binding protein 2-like	2x Chr8b NC_051086.1 (32124029..32129932, complement), 2x Chr8b NC_051086.1 (32034183..32043054, complement)	XP_021083921.1	LOC106021278 T-cell-specific guanine nucleotide triphosphate-binding protein 1-like	"Unplaced Scaffold	NW_004801634.1 (2818275..2823222)
"
N0.HOG0024110	OG0013810	n0	Irgq_Irgq	NP_694774.3	Chr7 NC_000073.7 (24230073..24238025)	XP_021074878.1	Irgq immunity related GTPase Q	Chr19 NC_034608.1 (20049917..20056122)	XP_006228472.1, NP_001129214.2	obsolete, Irgq immunity-related GTPase Q	Chr1 NC_005100.4 (81395922..81403872)	XP_032750106.1	Irgq immunity related GTPase Q	Chr2 NC_046155.1 (170178103..170182490, complement)	XP_005361166.1	Irgq immunity related GTPase Q	LG4 NC_022030.1 (19570210..19575086)	XP_038196250.1	Irgq immunity related GTPase Q	Chr8 NC_052054.1 (74549117..74553398)	BV1GeneOct19_035556-RA	Note=Similar to Irgq: Immunity-related GTPase family Q protein (Mus musculus OX%3D10090)	BV1scaffold_0000151:1408598-1411504	LR761995.1:1408599-1411504	XP_028749676.1, XP_028749677.1	2x Irgq immunity related GTPase Q	2x Chr1 NC_051063.1 (171610104..171615222, complement)	XP_005086389.1	Irgq immunity related GTPase Q	Unplaced Scaffold NW_004801821.1 (1641100..1644969)
